eBird.English.Name.2022,eBird.Scientific.Name.2022,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,BLI.Common.Name,BLI.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,Onepercent.Estimates
Nilgiri Sholakili,Sholicola major,whbsho1,Passeriformes,Muscicapidae (Old World Flycatchers),High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,Nilgiri Sholakili,Sholicola major,Nilgiri Blue Sholakili,Sholicola major,Endangered,Schedule-I,,Appendix II,
White-bellied Sholakili,Sholicola albiventris,whbsho3,Passeriformes,Muscicapidae (Old World Flycatchers),High,Uncertain,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,White-bellied Sholakili,Sholicola albiventris,White-bellied Sholakili,Sholicola albiventris,Vulnerable,Schedule-I,,Appendix II,
White-tailed Flycatcher,Cyornis concretus,whtfly2,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Winter Migrant,NA,NA,NA,White-tailed Flycatcher,Leucoptilon concretum,White-tailed Flycatcher,Cyornis concretus,Least Concern,Schedule-II,,Appendix II,
White-bellied Blue Flycatcher,Cyornis pallidipes,wbbfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,White-bellied Blue Flycatcher,Cyornis pallidipes,White-bellied Blue-flycatcher,Cyornis pallidipes,Least Concern,Schedule-II,,Appendix II,
Pale-chinned Blue Flycatcher,Cyornis poliogenys,pacblf1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,NA,Pale-chinned Flycatcher,Cyornis poliogenys,Pale-chinned Flycatcher,Cyornis poliogenys,Least Concern,Schedule-II,,Appendix II,
Pale Blue Flycatcher,Cyornis unicolor,pabfly2,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Pale Blue Flycatcher,Cyornis unicolor,Pale Blue-flycatcher,Cyornis unicolor,Least Concern,Schedule-II,,Appendix II,
Blue-throated Flycatcher,Cyornis rubeculoides,butfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Within-India Migrant,NA,NA,NA,Blue-throated Flycatcher,Cyornis rubeculoides,Blue-throated Blue-flycatcher,Cyornis rubeculoides,Least Concern,Schedule-II,,Appendix II,
Large Blue Flycatcher,Cyornis magnirostris,larblf1,Passeriformes,Muscicapidae (Old World Flycatchers),High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Summer Migrant,1,NA,NA,Large Blue Flycatcher,Cyornis magnirostris,Large Blue-flycatcher,Cyornis magnirostris,Near Threatened,Schedule-I,,Appendix II,
Hill Blue Flycatcher,Cyornis whitei,hibfly1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Hill Blue Flycatcher,Cyornis whitei,Hill Blue-flycatcher,Cyornis whitei,Least Concern,Schedule-II,,Appendix II,
Tickell's Blue Flycatcher,Cyornis tickelliae,tibfly3,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Tickell's Blue Flycatcher,Cyornis tickelliae,Tickell's Blue-flycatcher,Cyornis tickelliae,Least Concern,Schedule-II,,Appendix II,
Nicobar Jungle Flycatcher,Cyornis nicobaricus,nicjuf1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Jungle Flycatcher,Cyornis nicobaricus,Nicobar Jungle-flycatcher,Cyornis nicobaricus,Near Threatened,Schedule-II,,Appendix II,
Large Niltava,Niltava grandis,larnil1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,NA,Large Niltava,Niltava grandis,Large Niltava,Niltava grandis,Least Concern,Schedule-II,,Appendix II,
Small Niltava,Niltava macgrigoriae,smanil1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Small Niltava,Niltava macgrigoriae,Small Niltava,Niltava macgrigoriae,Least Concern,Schedule-II,,Appendix II,
Rufous-bellied Niltava,Niltava sundara,rubnil1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-bellied Niltava,Niltava sundara,Rufous-bellied Niltava,Niltava sundara,Least Concern,Schedule-II,,Appendix II,
Chinese Vivid Niltava,Niltava oatesi,vivnil2,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Summer Migrant & Localized Winter Migrant,NA,1,NA,Chinese Vivid Niltava,Niltava oatesi,Large Vivid Niltava,Niltava oatesi,Least Concern,Schedule-II,,Appendix II,
Blue-and-white Flycatcher,Cyanoptila cyanomelana,bawfly2,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Winter Migrant,NA,1,NA,Blue-and-white Flycatcher,Cyanoptila cyanomelana,Blue-and-white Flycatcher,Cyanoptila cyanomelana,Least Concern,Schedule-II,,Appendix II,
Zappey's Flycatcher,Cyanoptila cumatilis,zapfly1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Uncertain,NA,1,NA,Zappey's Flycatcher,Cyanoptila cumatilis,Zappey's Flycatcher,Cyanoptila cumatilis,Near Threatened,Schedule-II,,Appendix II,
Nilgiri Flycatcher,Eumyias albicaudatus,nilfly2,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,Nilgiri Flycatcher,Eumyias albicaudatus,Nilgiri Flycatcher,Eumyias albicaudatus,Least Concern,Schedule-II,,Appendix II,
Verditer Flycatcher,Eumyias thalassinus,verfly4,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Within-India Migrant & Winter Migrant,NA,NA,NA,Verditer Flycatcher,Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus,Least Concern,Schedule-II,,Appendix II,
Rusty-bellied Shortwing,Brachypteryx hyperythra,rubsho1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Forest,Resident & Local Migrant,NA,NA,NA,Rusty-bellied Shortwing,Brachypteryx hyperythra,Rusty-bellied Shortwing,Brachypteryx hyperythra,Near Threatened,Schedule-II,,Appendix II,
Gould's Shortwing,Heteroxenicus stellatus,gousho1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Gould's Shortwing,Heteroxenicus stellatus,Gould's Shortwing,Heteroxenicus stellatus,Least Concern,Schedule-II,,Appendix II,
Lesser Shortwing,Brachypteryx leucophris,lessho1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Lesser Shortwing,Brachypteryx leucophris,Lesser Shortwing,Brachypteryx leucophris,Least Concern,Schedule-II,,Appendix II,
Himalayan Shortwing,Brachypteryx cruralis,whbsho4,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,1,NA,NA,Himalayan Shortwing,Brachypteryx cruralis,Himalayan Shortwing,Brachypteryx cruralis,Least Concern,Schedule-II,,Appendix II,
Indian Blue Robin,Larvivora brunnea,inbrob1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Within-India Migrant & Winter Migrant,1,NA,NA,Indian Blue Robin,Larvivora brunnea,Indian Blue Robin,Larvivora brunnea,Least Concern,Schedule-II,,Appendix II,
Siberian Blue Robin,Larvivora cyane,sibrob,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Winter Migrant,NA,NA,NA,Siberian Blue Robin,Larvivora cyane,Siberian Blue Robin,Larvivora cyane,Least Concern,Schedule-II,,Appendix II,
White-bellied Redstart,Luscinia phaenicuroides,whbred1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Alpine & Cold Desert,Altitudinal Migrant,1,NA,NA,White-bellied Redstart,Luscinia phaenicuroides,White-bellied Redstart,Luscinia phaenicuroides,Least Concern,Schedule-II,,Appendix II,
Bluethroat,Luscinia svecica,blueth,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Bluethroat,Luscinia svecica,Bluethroat,Luscinia svecica,Least Concern,Schedule-II,,Appendix II,
Malabar Whistling-Thrush,Myophonus horsfieldii,mawthr1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,None,Resident & Local Migrant,NA,NA,NA,Malabar Whistling Thrush,Myophonus horsfieldii,Malabar Whistling-thrush,Myophonus horsfieldii,Least Concern,Schedule-II,,Appendix II,
Blue Whistling-Thrush,Myophonus caeruleus,blwthr1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,NA,NA,NA,Blue Whistling Thrush,Myophonus caeruleus,Blue Whistling-thrush,Myophonus caeruleus,Least Concern,Schedule-II,,Appendix II,
Little Forktail,Enicurus scouleri,litfor1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident & Altitudinal Migrant,NA,NA,NA,Little Forktail,Enicurus scouleri,Little Forktail,Enicurus scouleri,Least Concern,Schedule-II,,Appendix II,
White-crowned Forktail,Enicurus leschenaulti,whcfor1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,NA,White-crowned Forktail,Enicurus leschenaulti,White-crowned Forktail,Enicurus leschenaulti,Least Concern,Schedule-II,,Appendix II,
Spotted Forktail,Enicurus maculatus,spofor1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,NA,NA,NA,Spotted Forktail,Enicurus maculatus,Spotted Forktail,Enicurus maculatus,Least Concern,Schedule-II,,Appendix II,
Black-backed Forktail,Enicurus immaculatus,blbfor1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,NA,NA,NA,Black-backed Forktail,Enicurus immaculatus,Black-backed Forktail,Enicurus immaculatus,Least Concern,Schedule-II,,Appendix II,
Slaty-backed Forktail,Enicurus schistaceus,slbfor1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Slaty-backed Forktail,Enicurus schistaceus,Slaty-backed Forktail,Enicurus schistaceus,Least Concern,Schedule-II,,Appendix II,
Firethroat,Calliope pectardens,fireth1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Passage Migrant,NA,1,NA,Firethroat,Calliope pectardens,Firethroat,Calliope pectardens,Near Threatened,Schedule-II,,Appendix II,
Siberian Rubythroat,Calliope calliope,sibrub,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Siberian Rubythroat,Calliope calliope,Siberian Rubythroat,Calliope calliope,Least Concern,Schedule-II,,Appendix II,
Himalayan Rubythroat,Calliope pectoralis,himrub1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland & Scrub,Local Migrant,1,NA,NA,Himalayan Rubythroat,Calliope pectoralis,Himalayan Rubythroat,Calliope pectoralis,Least Concern,Schedule-II,,Appendix II,
Chinese Rubythroat,Calliope tschebaiewi,chirub1,Passeriformes,Muscicapidae (Old World Flycatchers),High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Winter Migrant & Localized Summer Migrant,1,NA,NA,Chinese Rubythroat,Calliope tschebaiewi,Chinese Rubythroat,Calliope tschebaiewi,Least Concern,Schedule-I,,Appendix II,
White-tailed Robin,Myiomela leucura,whtrob2,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Local Migrant,NA,NA,NA,White-tailed Robin,Myiomela leucura,White-tailed Blue Robin,Myiomela leucura,Least Concern,Schedule-II,,Appendix II,
Blue-fronted Robin,Cinclidium frontale,blfrob1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,1,NA,NA,Blue-fronted Robin,Cinclidium frontale,Blue-fronted Robin,Cinclidium frontale,Least Concern,Schedule-II,,Appendix II,
Red-flanked Bluetail,Tarsiger cyanurus,refblu,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Winter Migrant,NA,1,NA,Red-flanked Bush Robin,Tarsiger cyanurus,Orange-flanked Bush-robin,Tarsiger cyanurus,Least Concern,Schedule-II,,Appendix II,
Himalayan Bluetail,Tarsiger rufilatus,himblu1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Local Migrant,NA,NA,NA,Himalayan Bush Robin,Tarsiger rufilatus,Himalayan Bush-robin,Tarsiger rufilatus,Least Concern,Schedule-II,,Appendix II,
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,rbbrob1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-breasted Bush Robin,Tarsiger hyperythrus,Rufous-breasted Bush-robin,Tarsiger hyperythrus,Least Concern,Schedule-II,,Appendix II,
White-browed Bush-Robin,Tarsiger indicus,wbbrob1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,1,NA,NA,White-browed Bush Robin,Tarsiger indicus,White-browed Bush-robin,Tarsiger indicus,Least Concern,Schedule-II,,Appendix II,
Golden Bush-Robin,Tarsiger chrysaeus,gobrob1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Golden Bush Robin,Tarsiger chrysaeus,Golden Bush-robin,Tarsiger chrysaeus,Least Concern,Schedule-II,,Appendix II,
Yellow-rumped Flycatcher,Ficedula zanthopygia,korfly1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Passage Migrant & Localized Winter Migrant,NA,1,NA,Yellow-rumped Flycatcher,Ficedula zanthopygia,Yellow-rumped Flycatcher,Ficedula zanthopygia,Least Concern,Schedule-II,,Appendix II,
Mugimaki Flycatcher,Ficedula mugimaki,mugfly,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,NA,1,NA,Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,Least Concern,Schedule-II,,Appendix II,
Slaty-backed Flycatcher,Ficedula erithacus,slbfly1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Slaty-backed Flycatcher,Ficedula erithacus,Slaty-backed Flycatcher,Ficedula erithacus,Least Concern,Schedule-II,,Appendix II,
Black-and-orange Flycatcher,Ficedula nigrorufa,barfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,Black-and-orange Flycatcher,Ficedula nigrorufa,Black-and-orange Flycatcher,Ficedula nigrorufa,Least Concern,Schedule-II,,Appendix II,
Slaty-blue Flycatcher,Ficedula tricolor,slbfly2,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,NA,NA,NA,Slaty-blue Flycatcher,Ficedula tricolor,Slaty-blue Flycatcher,Ficedula tricolor,Least Concern,Schedule-II,,Appendix II,
Snowy-browed Flycatcher,Ficedula hyperythra,snbfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Snowy-browed Flycatcher,Ficedula hyperythra,Snowy-browed Flycatcher,Ficedula hyperythra,Least Concern,Schedule-II,,Appendix II,
Pygmy Flycatcher,Ficedula hodgsoni,pybfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,1,NA,NA,Pygmy Blue Flycatcher,Ficedula hodgsoni,Pygmy Blue-flycatcher,Ficedula hodgsoni,Least Concern,Schedule-II,,Appendix II,
Rufous-gorgeted Flycatcher,Ficedula strophiata,rugfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-gorgeted Flycatcher,Ficedula strophiata,Rufous-gorgeted Flycatcher,Ficedula strophiata,Least Concern,Schedule-II,,Appendix II,
Sapphire Flycatcher,Ficedula sapphira,sapfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Resident & Altitudinal Migrant,1,NA,NA,Sapphire Flycatcher,Ficedula sapphira,Sapphire Flycatcher,Ficedula sapphira,Least Concern,Schedule-II,,Appendix II,
Little Pied Flycatcher,Ficedula westermanni,lipfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Altitudinal Migrant,NA,NA,NA,Little Pied Flycatcher,Ficedula westermanni,Little Pied Flycatcher,Ficedula westermanni,Least Concern,Schedule-II,,Appendix II,
Ultramarine Flycatcher,Ficedula superciliaris,ultfly1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Within-India Migrant,NA,NA,NA,Ultramarine Flycatcher,Ficedula superciliaris,Ultramarine Flycatcher,Ficedula superciliaris,Least Concern,Schedule-II,,Appendix II,
Rusty-tailed Flycatcher,Ficedula ruficauda,rutfly6,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Uncertain,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Within-India Migrant,1,NA,NA,Rusty-tailed Flycatcher,Ficedula ruficauda,Rusty-tailed Flycatcher,Ficedula ruficauda,Least Concern,Schedule-II,,Appendix II,
Taiga Flycatcher,Ficedula albicilla,taifly1,Passeriformes,Muscicapidae (Old World Flycatchers),,,,,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Winter Migrant,NA,NA,NA,Taiga Flycatcher,Ficedula albicilla,Red-throated Flycatcher,Ficedula albicilla,Least Concern,Schedule-II,,Appendix II,
Kashmir Flycatcher,Ficedula subrubra,kasfly1,Passeriformes,Muscicapidae (Old World Flycatchers),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Within-India Migrant,NA,NA,NA,Kashmir Flycatcher,Ficedula subrubra,Kashmir Flycatcher,Ficedula subrubra,Vulnerable,Schedule-I,,Appendix II,
Red-breasted Flycatcher,Ficedula parva,rebfly,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Winter Migrant,NA,NA,NA,Red-breasted Flycatcher,Ficedula parva,Red-breasted Flycatcher,Ficedula parva,Least Concern,Schedule-II,,Appendix II,
Blue-fronted Redstart,Phoenicurus frontalis,blfred1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,NA,NA,NA,Blue-fronted Redstart,Phoenicurus frontalis,Blue-fronted Redstart,Phoenicurus frontalis,Least Concern,Schedule-II,,Appendix II,
Plumbeous Redstart,Phoenicurus fuliginosus,plured1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Uncertain,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident & Local Migrant,NA,NA,NA,Plumbeous Water Redstart,Phoenicurus fuliginosus,Plumbeous Water-redstart,Phoenicurus fuliginosus,Least Concern,Schedule-II,,Appendix II,
Rufous-backed Redstart,Phoenicurus erythronotus,rubred2,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant,NA,NA,NA,Eversmann's Redstart,Phoenicurus erythronotus,Eversmann's Redstart,Phoenicurus erythronotus,Least Concern,Schedule-II,,Appendix II,
White-capped Redstart,Phoenicurus leucocephalus,whcred1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Within-India Migrant,NA,NA,NA,White-capped Redstart,Phoenicurus leucocephalus,White-capped Water-redstart,Phoenicurus leucocephalus,Least Concern,Schedule-II,,Appendix II,
Blue-capped Redstart,Phoenicurus coeruleocephala,bucred1,Passeriformes,Muscicapidae (Old World Flycatchers),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Blue-capped Redstart,Phoenicurus coeruleocephala,Blue-capped Redstart,Phoenicurus coeruleocephala,Least Concern,Schedule-II,,Appendix II,
Common Redstart,Phoenicurus phoenicurus,comred2,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant,NA,1,NA,Common Redstart,Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,Least Concern,Schedule-II,,Appendix II,
Hodgson's Redstart,Phoenicurus hodgsoni,hodred1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Winter Migrant,1,NA,NA,Hodgson's Redstart,Phoenicurus hodgsoni,Hodgson's Redstart,Phoenicurus hodgsoni,Least Concern,Schedule-II,,Appendix II,
White-throated Redstart,Phoenicurus schisticeps,whtred1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Alpine & Cold Desert,Winter Migrant,NA,NA,NA,White-throated Redstart,Phoenicurus schisticeps,White-throated Redstart,Phoenicurus schisticeps,Least Concern,Schedule-II,,Appendix II,
White-winged Redstart,Phoenicurus erythrogastrus,whwred2,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,White-winged Redstart,Phoenicurus erythrogastrus,White-winged Redstart,Phoenicurus erythrogastrus,Least Concern,Schedule-II,,Appendix II,
Black Redstart,Phoenicurus ochruros,blared1,Passeriformes,Muscicapidae (Old World Flycatchers),Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Black Redstart,Phoenicurus ochruros,Black Redstart,Phoenicurus ochruros,Least Concern,Schedule-II,,Appendix II,
Daurian Redstart,Phoenicurus auroreus,daured1,Passeriformes,Muscicapidae (Old World Flycatchers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant,NA,NA,NA,Daurian Redstart,Phoenicurus auroreus,Daurian Redstart,Phoenicurus auroreus,Least Concern,Schedule-II,,Appendix II,
