"COMMON.NAME","SCIENTIFIC.NAME"
"Red-billed Scimitar-Babbler","Pomatorhinus ochraceiceps"
"Greater Scaup","Aythya marila"
"Pomarine Jaeger","Stercorarius pomarinus"
"Red-billed Tropicbird","Phaethon aethereus"
"Caspian Gull","Larus cachinnans"
"Goliath Heron","Ardea goliath"
"Flesh-footed Shearwater","Ardenna carneipes"
"Black-legged Kittiwake","Rissa tridactyla"
"Chestnut-vented Nuthatch","Sitta nagaensis"
"Hume's Boobook","Ninox obscura"
"Brown-cheeked Rail","Rallus indicus"
"Vivid Niltava","Niltava vivida"
"Bhutan Laughingthrush","Trochalopteron imbricatum"
"Temminck's Tragopan","Tragopan temminckii"
"Chestnut-cheeked Starling","Agropsar philippensis"
"Chin Hills Wren-Babbler","Spelaeornis oatesi"
"Spot-breasted Parrotbill","Paradoxornis guttaticollis"
"Bugun Liocichla","Liocichla bugunorum"
"Slender-billed Oriole","Oriolus tenuirostris"
"Sikkim Wedge-billed Babbler","Stachyris humei"
"Great Frigatebird","Fregata minor"
"Crested Tit-Warbler","Leptopoecile elegans"
"White-breasted Woodswallow","Artamus leucorynchus"
"Hodgson's Frogmouth","Batrachostomus hodgsoni"
"Burmese Shrike","Lanius collurioides"
"Striped Laughingthrush","Trochalopteron virgatum"
"Andaman Nightjar","Caprimulgus andamanicus"
"Taiga Bean-Goose","Anser fabalis"
"Spot-breasted Scimitar-Babbler","Erythrogenys mcclellandi"
"Andaman Masked-Owl","Tyto deroepstorffi"
"Himalayan Thrush","Zoothera salimalii"
"White-backed Thrush","Turdus kessleri"
"Lesser White-fronted Goose","Anser erythropus"
"Amur Stonechat","Saxicola stejnegeri"
"Jouanin's Petrel","Bulweria fallax"
"Siberian Blue Robin","Larvivora cyane"
"Black-headed Bulbul","Brachypodius melanocephalos"
"Japanese Sparrowhawk","Accipiter gularis"
"Daurian Starling","Agropsar sturninus"
"Great Spotted Woodpecker","Dendrocopos major"
"Mangrove Pitta","Pitta megarhyncha"
"Tropical Shearwater","Puffinus bailloni"
"Wilson's Storm-Petrel","Oceanites oceanicus"
"Gray-headed Parakeet","Psittacula finschii"
"Red Knot","Calidris canutus"
"Gray-faced Buzzard","Butastur indicus"
"Baikal Teal","Sibirionetta formosa"
"Nicobar Sparrowhawk","Accipiter butleri"
"Pied Triller","Lalage nigra"
"Blue-and-white Flycatcher","Cyanoptila cyanomelana"
"Fieldfare","Turdus pilaris"
"Nicobar Jungle-Flycatcher","Cyornis nicobaricus"
"Persian Shearwater","Puffinus persicus"
"Long-tailed Jaeger","Stercorarius longicaudus"
"Hume's Pheasant","Syrmaticus humiae"
"Wedge-tailed Shearwater","Ardenna pacifica"
"White-browed Laughingthrush","Pterorhinus sannio"
"Yellow-throated Laughingthrush","Pterorhinus galbanus"
"Rufous-necked Snowfinch","Montifringilla ruficollis"
"Red-footed Booby","Sula sula"
"Gray-crowned Warbler","Phylloscopus tephrocephalus"
"Buffy Fish-Owl","Ketupa ketupu"
"Tristram's Bunting","Emberiza tristrami"
"Naga Wren-Babbler","Spelaeornis chocolatinus"
"Tundra Bean-Goose","Anser serrirostris"
"Pale Rockfinch","Carpospiza brachydactyla"
"Brown-rumped Minivet","Pericrocotus cantonensis"
"Firethroat","Calliope pectardens"
"Elliot's Laughingthrush","Trochalopteron elliotii"
"Black-headed Greenfinch","Chloris ambigua"
"Franklin's Gull","Leucophaeus pipixcan"
"European Honey-buzzard","Pernis apivorus"
"Blue-winged Pitta","Pitta moluccensis"
"Chinese Sparrowhawk","Accipiter soloensis"
"Large Blue Flycatcher","Cyornis magnirostris"
"Short-tailed Shearwater","Ardenna tenuirostris"
"Northern Wheatear","Oenanthe oenanthe"
"Blue-throated Bee-eater","Merops viridis"
"Sabine's Gull","Xema sabini"
"Brown-capped Laughingthrush","Trochalopteron austeni"
"White Tern","Gygis alba"
"Pectoral Sandpiper","Calidris melanotos"
"Cory's Shearwater","Calonectris diomedea"
"Woodchat Shrike","Lanius senator"
"Mugimaki Flycatcher","Ficedula mugimaki"
"Chinese Thrush","Otocichla mupinensis"
"Eurasian Scops-Owl","Otus scops"
"Asian Stubtail","Urosphena squameiceps"
"Nicobar Scops-Owl","Otus alius"
"Baikal Bush Warbler","Locustella davidi"
"Pink-rumped Rosefinch","Carpodacus waltoni"
"Godlewski's Bunting","Emberiza godlewskii"
"Sichuan Leaf Warbler","Phylloscopus forresti"
"Yunnan Nuthatch","Sitta yunnanensis"
"Red-breasted Goose","Branta ruficollis"
"Moustached Laughingthrush","Ianthocincla cineracea"
"Black Tern","Chlidonias niger"
"Christmas Island Frigatebird","Fregata andrewsi"
"White-rumped Snowfinch","Montifringilla taczanowskii"
"Herring Gull","Larus argentatus"
"Chestnut-flanked White-eye","Zosterops erythropleurus"
"Chinese Bush Warbler","Locustella tacsanowskia"
"White-cheeked Tern","Sterna repressa"
"Red-throated Loon","Gavia stellata"
"White-headed Duck","Oxyura leucocephala"
"White-browed Crake","Poliolimnas cinereus"
"Chinese White-browed Rosefinch","Carpodacus dubius"
"Crimson-winged Finch","Rhodopechys sanguineus"
"White-eyed Gull","Ichthyaetus leucophthalmus"
"Rock Eagle-Owl","Bubo bengalensis"
"Wood Warbler","Phylloscopus sibilatrix"
"Gray-tailed Tattler","Tringa brevipes"
"White-eared Night-Heron","Gorsachius magnificus"
"Masked Shrike","Lanius nubicus"
"Turkestan Short-toed Lark","Alaudala heinei"
"Red-breasted Merganser","Mergus serrator"
"Rook","Corvus frugilegus"
"American Golden-Plover","Pluvialis dominica"
"Finsch's Wheatear","Oenanthe finschii"
"Chinese Egret","Egretta eulophotes"
"Javan Pond-Heron","Ardeola speciosa"
"White-cheeked Starling","Spodiopsar cineraceus"
"Horsfield's Bronze-Cuckoo","Chrysococcyx basalis"
"Pied Crow","Corvus albus"
"Sakhalin Leaf Warbler","Phylloscopus borealoides"
"Namaqua Dove","Oena capensis"
"Amur Paradise-Flycatcher","Terpsiphone incei"
"Zappey's Flycatcher","Cyanoptila cumatilis"
"Spoon-billed Sandpiper","Calidris pygmaea"
"Yellow-browed Bunting","Emberiza chrysophrys"
"Pale Rosefinch","Carpodacus stoliczkae"
"Desert Finch","Rhodospiza obsoleta"
"Naumann's Thrush","Turdus naumanni"
"Gray-eyed Bulbul","Iole propinqua"
"Rustic Bunting","Emberiza rustica"
"Red-billed Starling","Spodiopsar sericeus"
"Chinese Blackbird","Turdus mandarinus"
"Willow Warbler","Phylloscopus trochilus"
"Japanese Thrush","Turdus cardis"
"Nordmann's Greenshank","Tringa guttifer"
"Rough-legged Hawk","Buteo lagopus"
"Three-banded Rosefinch","Carpodacus trifasciatus"
"Meadow Pipit","Anthus pratensis"
"Red-legged Crake","Rallina fasciata"
"Eurasian Blackcap","Sylvia atricapilla"
"Whinchat","Saxicola rubetra"
"Rufous-winged Buzzard","Butastur liventer"
"Great Indian Bustard","Ardeotis nigriceps"
"Lesser Florican","Sypheotides indicus"
"Finn's Weaver","Ploceus megarhynchus"
"Green Avadavat","Amandava formosa"
"Saker Falcon","Falco cherrug"
"Yellow-breasted Bunting","Emberiza aureola"
"Derbyan Parakeet","Psittacula derbiana"
